iter	Passed	Remaining
0	137	137020
1	140	70288
2	144	47935
3	147	36845
4	151	30199
5	155	25692
6	158	22478
7	161	20072
8	165	18202
9	168	16688
10	172	15478
11	175	14473
12	178	13526
13	180	12705
14	182	11986
15	184	11330
16	185	10751
17	187	10238
18	189	9765
19	190	9335
20	191	8945
21	193	8591
22	194	8266
23	195	7958
24	196	7676
25	197	7414
26	199	7172
27	200	6951
28	201	6737
29	202	6536
30	203	6348
31	204	6171
32	204	6006
33	205	5851
34	206	5704
35	207	5562
36	208	5428
37	209	5301
38	210	5180
39	211	5065
40	211	4956
41	212	4851
42	213	4751
43	214	4654
44	214	4562
45	215	4474
46	216	4388
47	217	4307
48	217	4229
49	218	4154
50	219	4081
51	220	4010
52	220	3942
53	221	3877
54	222	3815
55	222	3754
56	223	3695
57	224	3639
58	224	3584
59	225	3531
60	226	3479
61	226	3429
62	227	3382
63	228	3336
64	228	3290
65	229	3246
66	230	3203
67	230	3158
68	231	3117
69	231	3078
70	232	3040
71	233	3003
72	233	2966
73	234	2931
74	234	2897
75	235	2863
76	236	2831
77	236	2798
78	237	2767
79	238	2737
80	238	2707
81	239	2679
82	239	2651
83	240	2624
84	241	2595
85	241	2569
86	242	2542
87	242	2517
88	243	2493
89	244	2469
90	244	2445
91	245	2423
92	246	2401
93	246	2379
94	247	2358
95	248	2337
96	248	2316
97	249	2296
98	250	2276
99	250	2256
100	251	2237
101	251	2216
102	252	2198
103	253	2180
104	253	2162
105	254	2144
106	254	2127
107	255	2110
108	256	2094
109	256	2078
110	257	2062
111	258	2046
112	258	2031
113	259	2016
114	260	2001
115	260	1985
116	261	1971
117	261	1957
118	262	1942
119	263	1929
120	263	1916
121	264	1903
122	264	1888
123	265	1875
124	266	1863
125	266	1851
126	267	1839
127	267	1825
128	268	1814
129	269	1802
130	270	1791
131	270	1780
132	271	1769
133	272	1758
134	272	1747
135	273	1737
136	274	1726
137	274	1716
138	275	1705
139	276	1695
140	276	1685
141	277	1675
142	277	1665
143	278	1655
144	279	1646
145	279	1636
146	280	1627
147	281	1617
148	281	1608
149	282	1600
150	283	1591
151	283	1582
152	284	1573
153	284	1565
154	285	1556
155	286	1548
156	286	1540
157	287	1532
158	288	1524
159	288	1516
160	289	1508
161	290	1500
162	290	1492
163	291	1485
164	292	1477
165	292	1470
166	293	1462
167	293	1455
168	294	1448
169	295	1440
170	295	1433
171	296	1426
172	297	1420
173	297	1413
174	298	1406
175	298	1399
176	299	1393
177	300	1386
178	301	1380
179	301	1374
180	302	1366
181	302	1360
182	303	1354
183	304	1348
184	304	1342
185	305	1336
186	306	1330
187	306	1324
188	307	1318
189	307	1312
190	308	1306
191	309	1301
192	309	1295
193	310	1289
194	311	1284
195	311	1278
196	312	1273
197	312	1267
198	313	1262
199	314	1256
200	314	1251
201	315	1246
202	316	1240
203	316	1235
204	317	1230
205	317	1225
206	318	1220
207	319	1215
208	319	1210
209	320	1205
210	321	1200
211	321	1196
212	322	1191
213	323	1186
214	323	1181
215	324	1177
216	325	1172
217	325	1168
218	326	1163
219	326	1158
220	327	1154
221	328	1150
222	328	1145
223	329	1141
224	330	1136
225	330	1132
226	331	1128
227	331	1123
228	332	1119
229	333	1115
230	333	1111
231	334	1107
232	335	1103
233	335	1098
234	336	1094
235	336	1090
236	337	1086
237	338	1082
238	338	1079
239	339	1075
240	340	1071
241	340	1067
242	341	1063
243	342	1059
244	342	1055
245	343	1052
246	343	1048
247	344	1044
248	345	1041
249	345	1037
